"","conf_name","count","Gender"
"1","aaai",3551,"F"
"2","acl",2681,"F"
"3","adbis",477,"F"
"4","alt",144,"F"
"5","cade",319,"F"
"6","chi",11197,"F"
"7","cikm",3480,"F"
"8","colt",222,"F"
"9","compgeom",347,"F"
"10","concur",268,"F"
"11","coopis",180,"F"
"12","crypto",287,"F"
"13","csmr",377,"F"
"14","cvpr",4524,"F"
"15","dasfaa",1129,"F"
"16","dbpl",47,"F"
"17","dolap",111,"F"
"18","edbt",891,"F"
"19","er",1034,"F"
"20","esa",426,"F"
"21","eurocrypt",240,"F"
"22","fase",284,"F"
"23","focs",351,"F"
"24","fse",189,"F"
"25","fsttcs",198,"F"
"26","gpce",101,"F"
"27","icalp",637,"F"
"28","iccv",1354,"F"
"29","icde",2373,"F"
"30","icdt",133,"F"
"31","icml",1338,"F"
"32","icse",3593,"F"
"33","icsm",743,"F"
"34","ijcai",2377,"F"
"35","infocom",4421,"F"
"36","ipco",133,"F"
"37","isaac",417,"F"
"38","issac",216,"F"
"39","iwpc",356,"F"
"40","kbse",840,"F"
"41","kdd",2325,"F"
"42","latin",225,"F"
"43","lfcs",30,"F"
"44","lics",173,"F"
"45","mfcs",374,"F"
"46","mobicom",1018,"F"
"47","msr",323,"F"
"48","nsdi",251,"F"
"49","osdi",248,"F"
"50","pldi",327,"F"
"51","podc",517,"F"
"52","pods",183,"F"
"53","popl",244,"F"
"54","recomb",452,"F"
"55","ride",62,"F"
"56","scam",142,"F"
"57","sigcomm",788,"F"
"58","sigir",1971,"F"
"59","sigmetrics",530,"F"
"60","sigmod",1727,"F"
"61","soda",740,"F"
"62","sosp",170,"F"
"63","sp",370,"F"
"64","spaa",271,"F"
"65","ssdbm",466,"F"
"66","stacs",240,"F"
"67","stoc",468,"F"
"68","swat",114,"F"
"69","uist",734,"F"
"70","vldb",629,"F"
"71","wads",158,"F"
"72","wcre",453,"F"
"73","wdag",357,"F"
"74","widm",128,"F"
"75","www",3182,"F"
"76","aaai",13075,"M"
"77","acl",7639,"M"
"78","adbis",1936,"M"
"79","alt",934,"M"
"80","cade",1848,"M"
"81","chi",23578,"M"
"82","cikm",10090,"M"
"83","colt",1510,"M"
"84","compgeom",2155,"M"
"85","concur",1288,"M"
"86","coopis",752,"M"
"87","crypto",1746,"M"
"88","csmr",1706,"M"
"89","cvpr",20171,"M"
"90","dasfaa",3021,"M"
"91","dbpl",245,"M"
"92","dolap",469,"M"
"93","edbt",3279,"M"
"94","er",3085,"M"
"95","esa",2726,"M"
"96","eurocrypt",1474,"M"
"97","fase",1102,"M"
"98","focs",2539,"M"
"99","fse",992,"M"
"100","fsttcs",1420,"M"
"101","gpce",971,"M"
"102","icalp",4131,"M"
"103","iccv",6095,"M"
"104","icde",8356,"M"
"105","icdt",679,"M"
"106","icml",7163,"M"
"107","icse",13245,"M"
"108","icsm",2947,"M"
"109","ijcai",9074,"M"
"110","infocom",13794,"M"
"111","ipco",757,"M"
"112","isaac",2496,"M"
"113","issac",1580,"M"
"114","iwpc",1450,"M"
"115","kbse",3468,"M"
"116","kdd",7172,"M"
"117","latin",1182,"M"
"118","lfcs",195,"M"
"119","lics",1544,"M"
"120","mfcs",2315,"M"
"121","mobicom",4038,"M"
"122","msr",1296,"M"
"123","nsdi",1722,"M"
"124","osdi",1474,"M"
"125","pldi",2668,"M"
"126","podc",2426,"M"
"127","pods",1167,"M"
"128","popl",1815,"M"
"129","recomb",1710,"M"
"130","ride",157,"M"
"131","scam",792,"M"
"132","sigcomm",4084,"M"
"133","sigir",6522,"M"
"134","sigmetrics",2222,"M"
"135","sigmod",6988,"M"
"136","soda",5027,"M"
"137","sosp",1015,"M"
"138","sp",2053,"M"
"139","spaa",1684,"M"
"140","ssdbm",1786,"M"
"141","stacs",2008,"M"
"142","stoc",3025,"M"
"143","swat",788,"M"
"144","uist",3321,"M"
"145","vldb",2794,"M"
"146","wads",960,"M"
"147","wcre",1889,"M"
"148","wdag",1522,"M"
"149","widm",371,"M"
"150","www",11754,"M"
