Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,,,,,,,,,,
354890605000001,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,176,385,2,19,1,51,4582,9,18021014,91,4771,88,17860840,71,2810,65,13611072,1,3747,53,14640826,97
354890605000002,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,106,249,2,35,1,52,2962,96,8489671,24,3019,94,8480772,13,1891,93,6343740,91,2359,93,6810985,47
354890605000003,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,61,134,2,2,1,93,4488,52,31068856,12,4640,68,31421927,12,2928,58,19132215,44,3682,48,21302638,81
354890605000004,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,124,279,2,25,1,75,4864,76,41612011,32,4944,51,41902229,9,3137,37,27442963,92,4172,54,32202616,48
354890605000005,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,147,357,2,43,1,52,4039,64,15354341,27,4181,88,15299768,67,2467,6,10331267,35,3192,11,11055876,28
354890605000006,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,96,194,2,2,1,2,3711,4,11504637,57,3915,32,11336489,8,2570,81,9914267,11,3284,92,10325275,4
354890605000007,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,132,307,2,33,1,78,9553,14,6114039127,10777,91,6891333468,5003,71,2791283278,6877,13,3828392315,,,,
354890605000008,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,254,600,2,36,1,8,3012,89,6611507,25,3123,57,6508248,6,2142,91,6110465,17,2693,25,6197742,63
354890605000009,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,141,352,2,5,1,94,2382,3,6727593,26,2846,32,6717287,18,1815,74,5204481,85,2423,42,5474713,3
354890605000010,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,295,769,2,61,1,99,2321,39,5226619,96,2419,83,5209992,31,1520,19,3732449,61,2029,77,3949667,6
354890605000011,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,164,472,2,88,2,52,1661,24,2938428,1792,39,2935314,61,1031,58,1995298,94,1518,92,2198385,81,
354890605000012,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,133,349,2,62,2,4,1642,64,2337503,67,1680,55,2327665,83,1188,92,3123732,85,1564,86,3524761,17
354890605000013,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,124,333,2,69,1,83,2247,52,5988123,8,2322,43,6013952,21,1510,96,4581372,3,1940,86,5052457,87
354890605000014,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,60,119,1,98,1,7,2474,57,6291011,81,2801,4,6204692,4,1960,68,5155277,57,2514,28,5219728,21
354890605000015,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,46,118,2,57,1,85,2465,33,8918849,34,2637,33,9091490,89,1393,26,5025281,4,2026,56,6039250,17
354890605000016,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,165,447,2,71,2,98,2552,64,62055853,7,2665,73,64519281,79,1509,54,26018715,76,1919,15,32311772,18
354890605000017,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,165,459,2,78,2,44,1707,96,3302324,95,1891,37,3310101,73,1221,4,2361356,95,1562,94,2488573,5
354890605000018,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,180,468,2,6,1,93,2883,28,10681239,27,3017,38,10773930,92,1707,71,6715361,42,2357,49,7741935,7
354890605000019,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,176,378,2,15,1,13,5854,7,37137463,46,6096,55,37197788,78,3800,17,26504340,39,4800,92,28687350,96
354890605000020,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,141,338,2,4,1,31,5395,89,24154397,24,5635,7,23874312,75,3458,49,19113571,11,4540,22,20185251,72
354890605000021,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,261,588,2,25,1,34,5876,61,98865156,31,5991,39,100113314,6,3635,75,54394199,2,4862,26,66810321,3
354890605000022,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,251,573,2,28,1,29,4642,97,58342498,84,5089,2,61692129,39,2974,63,32045734,56,4003,45,39027901,21
354890605000023,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,130,359,2,76,1,97,2363,84,6726265,16,2498,37,6773344,86,1471,92,3907312,25,1940,4243076,3,
354890605000024,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,240,686,2,86,1,83,2022,6,4916297,9,2345,4,4944045,6,1508,88,4210478,57,2057,86,4613545,4
354890605000025,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,288,775,2,69,1,96,2089,46,5015893,54,2156,86,5032379,21,1323,53,3554869,51,1775,47,3967097,93
354890605000026,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,225,643,2,86,1,95,1820,48,3488096,8,1914,6,3488281,63,1087,62,2136776,47,1542,72,2329244,94
354890605000027,3,Região Sudeste,SP,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3548906,SÃO CARLOS,354890605,SÃO CARLOS,35489060500,SÃO CARLOS,3548906000,SÃO CARLOS (todos os setores),1,0,320,826,2,58,1,73,2039,63,3595458,96,2119,9,3567054,7,1346,97,3730164,16,1775,2,4156505,23
